Date,variable,concentration_linear,daily_flux_linear,concentration_logqc,daily_flux_logqc,concentration_sensor,daily_flux_sensor,concentration_qc,daily_flux_qc
3/12/17,DOC,5.77,4778.57,5.42,4484.98,142.04,4901.05,5.37,4448.73
3/13/17,SPM,1.43,1359.56,1.47,1395.88,44.05,1745.39,1.85,1760.30
3/13/17,DOC,5.76,5480.49,5.55,5282.01,141.54,5608.44,5.42,5155.75
3/14/17,SPM,1.44,1530.08,1.69,1799.57,44.13,1960.04,1.93,2059.94
3/14/17,DOC,5.76,6134.54,5.70,6070.09,140.37,6234.05,5.47,5827.69
3/15/17,SPM,1.44,2062.84,3.21,4589.39,46.03,2744.43,2.19,3137.28
3/15/17,DOC,5.75,8225.91,7.17,10259.32,137.29,8186.01,5.61,8034.68
3/16/17,SPM,1.45,2356.38,1.85,3005.16,45.57,3091.07,2.33,3796.95
3/16/17,DOC,5.74,9345.91,6.48,10551.24,138.82,9416.54,5.69,9269.34
3/17/17,SPM,1.45,2264.47,1.87,2914.56,45.37,2945.63,2.28,3556.59
3/17/17,DOC,5.73,8933.23,6.63,10332.81,138.98,9022.74,5.67,8827.71
3/18/17,SPM,1.46,2015.83,1.52,2097.79,44.86,2582.28,2.16,2979.67
3/18/17,DOC,5.73,7909.81,4.45,6146.19,140.62,8094.06,5.59,7728.33
3/19/17,SPM,1.47,1765.72,1.36,1643.16,44.64,2241.67,2.03,2448.40
3/19/17,DOC,5.72,6891.47,5.66,6816.89,141.62,7111.37,5.52,6656.65
3/20/17,SPM,1.47,1587.99,1.64,1768.06,44.30,1992.38,1.94,2096.67
3/20/17,DOC,5.71,6164.87,6.14,6623.77,142.90,6427.12,5.47,5907.98
3/21/17,SPM,1.48,1677.55,1.45,1649.66,44.91,2125.48,1.98,2251.48
3/21/17,DOC,5.70,6477.98,5.99,6797.51,141.73,6707.23,5.50,6241.83
3/22/17,SPM,1.48,1764.38,1.07,1272.75,44.78,2220.06,2.02,2404.23
3/22/17,DOC,5.70,6777.24,5.72,6807.14,140.94,6986.78,5.52,6564.51
3/23/17,SPM,1.49,1657.88,1.52,1694.53,44.25,2053.06,1.97,2189.75
3/23/17,DOC,5.69,6334.58,6.23,6934.81,142.36,6604.97,5.49,6109.58
3/24/17,SPM,1.49,1496.68,1.40,1397.64,44.09,1839.34,1.89,1889.12
3/24/17,DOC,5.68,5688.59,5.60,5607.00,142.67,5951.85,5.44,5448.50
3/25/17,SPM,1.50,1362.62,1.58,1430.79,43.89,1660.61,1.82,1652.90
3/25/17,DOC,5.67,5151.86,5.51,5000.66,143.73,5437.76,5.40,4906.81
3/26/17,SPM,1.51,1283.67,1.74,1480.19,41.90,1487.57,1.78,1517.11
3/26/17,DOC,5.67,4827.97,5.44,4638.27,138.40,4913.15,5.38,4585.16
3/27/17,SPM,1.51,1260.16,1.80,1497.99,43.63,1514.47,1.77,1472.31
3/27/17,DOC,5.66,4714.80,5.42,4516.96,144.51,5016.39,5.37,4477.22
3/28/17,SPM,1.52,1270.38,1.79,1494.67,43.62,1520.62,1.77,1480.52
3/28/17,DOC,5.65,4728.28,5.43,4539.26,144.95,5052.53,5.38,4497.07
3/29/17,SPM,1.52,1253.84,1.83,1508.28,43.46,1489.48,1.76,1447.33
3/29/17,DOC,5.64,4642.50,5.41,4448.95,144.87,4964.62,5.37,4416.62
3/30/17,SPM,1.53,1224.33,1.79,1430.20,43.42,1447.43,1.74,1395.00
3/30/17,DOC,5.64,4509.74,5.50,4403.28,144.96,4832.09,5.36,4288.72
3/31/17,SPM,1.54,1256.04,1.85,1513.12,43.39,1478.04,1.76,1435.82
3/31/17,DOC,5.63,4602.64,5.40,4417.52,145.00,4939.65,5.37,4388.60
