datetime,value,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,unit,correction,quality
2015-05-07 11:00:00+00:00,23.88467,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-08 11:00:00+00:00,18.22877,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-09 11:00:00+00:00,14.12468,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-10 11:00:00+00:00,12.39661,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-11 11:00:00+00:00,11.19695,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-12 11:00:00+00:00,10.23985,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-13 11:00:00+00:00,9.301429,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-14 11:00:00+00:00,8.376601,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-15 11:00:00+00:00,7.515738,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-16 11:00:00+00:00,6.692548,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-17 11:00:00+00:00,6.160955,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-18 11:00:00+00:00,5.663225,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-19 11:00:00+00:00,8.521039,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-20 11:00:00+00:00,13.31242,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-21 11:00:00+00:00,12.79897,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-22 11:00:00+00:00,10.89581,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-23 11:00:00+00:00,9.372166,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-24 11:00:00+00:00,8.32902,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
